Time,Power,Class
961,0.147,fridge
962,0.144,fridge
963,0.135,fridge
964,0.123,fridge
965,0.012,fridge
966,0,fridge
967,0,fridge
968,0,fridge
969,0,fridge
970,0,fridge
971,0,fridge
972,0,fridge
973,0,fridge
974,0,fridge
975,0,fridge
976,0,fridge
977,0,fridge
978,0,fridge
979,0,fridge
980,0,fridge
981,0,fridge
982,0,fridge
983,0,fridge
984,0,fridge
985,0,fridge
986,0,fridge
987,0,fridge
988,0,fridge
989,0,fridge
990,0,fridge
991,0,fridge
992,0.063,fridge
993,0.111,fridge
994,0.186,fridge
995,0.168,fridge
996,0.186,fridge
997,0.126,fridge
998,0.126,fridge
999,0.153,fridge
1000,0.147,fridge
1001,0.15,fridge
1002,0.12,fridge
1003,0.147,fridge
1004,0.159,fridge
1005,0.102,fridge
1006,0.123,fridge
1007,0.108,fridge
1008,0.165,fridge
1009,0.174,fridge
1010,0.153,fridge
1011,0.141,fridge
1012,0.153,fridge
1013,0.135,fridge
1014,0.123,fridge
1015,0,fridge
1016,0,fridge
1017,0,fridge
1018,0,fridge
1019,0,fridge
1020,0,fridge
1021,0,fridge
1022,0,fridge
1023,0,fridge
1024,0,fridge
1025,0,fridge
1026,0,fridge
1027,0,fridge
1028,0,fridge
1029,0,fridge
1030,0,fridge
1031,0,fridge
1032,0,fridge
1033,0,fridge
1034,0,fridge
1035,0,fridge
1036,0,fridge
1037,0,fridge
1038,0,fridge
1039,0,fridge
1040,0,fridge
1041,0.114,fridge
1042,0.171,fridge
1043,0.144,fridge
1044,0.156,fridge
1045,0.15,fridge
1046,0.117,fridge
1047,0.114,fridge
1048,0.156,fridge
1049,0.141,fridge
1050,0.135,fridge
1051,0.153,fridge
1052,0.165,fridge
1053,0.171,fridge
1054,0.135,fridge
1055,0.132,fridge
1056,0.144,fridge
1057,0.195,fridge
1058,0.195,fridge
1059,0.192,fridge
1060,0.201,fridge
1061,0.195,fridge
1062,0.189,fridge
1063,0.201,fridge
1064,0.183,fridge
1065,0.159,fridge
1066,0.201,fridge
1067,0.24,fridge
1068,0.171,fridge
1069,0.183,fridge
1070,0.228,fridge
1071,0.168,fridge
1072,0.078,fridge
1073,0.168,fridge
1074,0.195,fridge
1075,0.18,fridge
1076,0.168,fridge
1077,0.126,fridge
